_id,name,author,translator,artist,editor,publishing,year,series,collection,genre,weight,dimensions.length,dimensions.width,dimensions.height,rating,price,link
1007945,Группа крови на плече. Смерти вопреки,Вязовский Алексей Викторович,,,,АСТ,2024,Военная фантастика,,Современная отечественная проза,280,206,134,23,0,536,https://www.labirint.ru/books/1007945/
1004337,Божья коровка. Попаданец в 60-е,Дроздов Анатолий Федорович,,,,Феникс,2024,Попаданчество,,Современная отечественная проза,370,206,135,30,9.5,569,https://www.labirint.ru/books/1004337/
993291,До Золотого века. Комплект в 2-х томах,Азимов Айзек,"Грузберг А., Альтштейнер В., Аникеева Вера",,,Престиж БУК,2023,Ретро библиотека приключений и научной фантастики,,Классическая зарубежная проза,1488,210,135,78,5.5,4032,https://www.labirint.ru/books/993291/
996872,Дом пепла,Мэй,,,,Черным-бело,2024,Young Adult. Книжный бунт. Фантастика,,"Молодежная литература, Современная отечественная проза",438,206,131,26,9,625,https://www.labirint.ru/books/996872/
914003,Хребты Безумия. Том 2,Лавкрафт Говард Филлипс,Брилова Людмила,Баранже Франсуа,,Азбука,2024,Больше чем книга,,Классическая зарубежная проза,1022,360,273,15,10,1469,https://www.labirint.ru/books/914003/
1004020,Старплекс,Сойер Роберт Дж.,Слободян В.,,,fanzon,2024,Fanzon. Роберт Сойер. Образы будущего,,Современная зарубежная проза,384,220,145,20,7.5,692,https://www.labirint.ru/books/1004020/
1007552,Варяжское море. Воин,Калинин Даниил Сергеевич,,,,АСТ,2024,Боевая фантастика,,Современная отечественная проза,274,206,132,25,0,536,https://www.labirint.ru/books/1007552/
531428,"Юлианна, или Игра в киднеппинг",Вознесенская Юлия Николаевна,,Тимошенко Ю.,,Вече,2024,Светлая поляна,,,520,247,175,15,8.92,716,https://www.labirint.ru/books/531428/
1003611,Отдел 15-К. Тени Былого. Отзвуки времен,Васильев Андрей Александрович,,,,Яуза,2024,ЛитРес: Коллекция,,Современная отечественная проза,604,206,129,42,10,1221,https://www.labirint.ru/books/1003611/
792395,Имена на осколках,Стрельникова Кристина Ивановна,,,,Пять четвертей,2021,Искажения,,,616,218,145,38,9.13,778,https://www.labirint.ru/books/792395/
854210,Наруза. Продавец ветра,Решенина Светлана,,Решенина Светлана,Тюленева Наталья,Качели,2022,Все грани волшебства,Книги для подростков,,334,220,145,15,9.67,338,https://www.labirint.ru/books/854210/
948591,Лачуга должника. Сестра печали. Комплект в 2-х томах,Шефнер Вадим Сергеевич,,"Мельников Е., Костров Н.",,Престиж БУК,2023,,,Военный роман,1600,210,135,80,10,4032,https://www.labirint.ru/books/948591/
860417,Наруза. Огненная пряха,Решенина Светлана,,Решенина Светлана,Тюленева Наталья,Качели,2023,Все грани волшебства,Книги для подростков,,332,217,146,16,8.82,310,https://www.labirint.ru/books/860417/
968275,"Рассказы ""Черных Вдовцов"" . В 2-х томах",Азимов Айзек,Грузберг А.,Медведев А.,,Престиж БУК,2023,Ретро библиотека приключений и научной фантастики,,Современная зарубежная проза,1474,200,135,70,7,4032,https://www.labirint.ru/books/968275/
901177,Галстук Мортимера,Эйкен Джоан,Мамонтова Елена Ивановна,Блейк Квентин,Домогацкая Ольга,Лабиринт,2023,Детская художественная литература,"Продолжение следует, Арабелла и ворон",,360,230,158,15,9.33,400,https://www.labirint.ru/books/901177/
802803,Земля Серебряных Яблок,Фармер Нэнси,Лихачева Светлана Борисовна,Бабич Григорий,,Волчок,2021,Зеленое солнце,,Исторические повести и рассказы,990,223,158,38,9.36,706,https://www.labirint.ru/books/802803/
655700,Остров Погибших Кораблей. Голова профессора Доуэля,Беляев Александр Романович,,Коровин Олег Дмитриевич,,Речь,2018,Малая Классика Речи,,Классическая отечественная фантастика,530,175,125,33,8.67,1041,https://www.labirint.ru/books/655700/
700650,Метро 2033. Метро 2034. Метро 2035,Глуховский Дмитрий Алексеевич,,,,АСТ,2019,Культовые романы Дмитрия Глуховского,,Современная отечественная проза,1475,260,200,40,8.36,2376,https://www.labirint.ru/books/700650/
859609,Образы Ереси. Артбук,"Меррет Алан, Хейли Гай","Апанасевич Алексей, Войтко Юрий","Амджал Абрар, Белледин Стив, Бланше Джон",,Фантастика,2022,Warhammer 40000 КОМИКСЫ,,,2534,316,235,35,10,4364,https://www.labirint.ru/books/859609/
749711,Сквозь зеркала. Книга 4. Граница миров,Дабо Кристель,"Волевич Ирина, Генкина Римма",Гапайар Лоран,Бобрецова Татьяна,КомпасГид,2020,Сквозь зеркала,,,750,240,172,33,7.35,833,https://www.labirint.ru/books/749711/
641213,Сквозь зеркала. Книга 2. Тайны Полюса,Дабо Кристель,"Волевич Ирина, Рац Юлия Марковна",Гапайар Лоран,,КомпасГид,2020,Сквозь зеркала,,Молодежная литература,812,242,174,36,9.58,636,https://www.labirint.ru/books/641213/
432980,Академия и Земля,Азимов Айзек,Сосновская Надежда Андреевна,,,Эксмо,2022,Золотая коллекция фантастики,,Классическая зарубежная проза,940,220,151,45,9.47,1407,https://www.labirint.ru/books/432980/
1006446,Клуб любителей хоррора,Матюхин Александр Александрович,,,,Крафтовая литература,2024,Прячься!,,Городское отечественное фэнтези,330,220,160,14,7.75,646,https://www.labirint.ru/books/1006446/
995172,Продавец приключений,Садовников Георгий Михайлович,,"Вальк Генрих Оскарович, Бороздина Екатерина",,Азбука,2024,Детская библиотека. Большие книги,,,938,216,147,41,9.83,1007,https://www.labirint.ru/books/995172/
1006730,Служу Советскому Союзу,Высоцкий Василий,,,,АСТ,2024,Попаданец. Назад в СССР,,Современная отечественная проза,278,206,134,24,0,536,https://www.labirint.ru/books/1006730/
987919,Второй Эфир,Муркок Майкл,"Караев Николай, Свобода Арина",,,Фантастика,2023,Легенды фантастики,,Современная отечественная проза,1036,245,180,38,10,1091,https://www.labirint.ru/books/987919/
772785,Карантинная зона,Шушканов Павел Александрович,,,Ряхина Екатерина,Пять четвертей,2022,Искажения,,Молодежная литература,320,219,147,14,8.53,475,https://www.labirint.ru/books/772785/
815756,Мадам Артишок,Кингфишер Руперт,Полещук Юлия,Гантимурова Анна,Ким Елена Николаевна,Лабиринт,2021,Детская художественная литература,"Про девочку, которая...",,339,226,182,13,8.56,528,https://www.labirint.ru/books/815756/
843552,Лэнгдон Сент-Ив. Приключения начинаются. Комплект из 3 книг,Блэйлок Джеймс,"Кубатиев Алан, Спаров Вик, Попов Д. В.",,,Аркадия,2019,Комплекты,,Героическое зарубежное фэнтези,1928,218,155,84,9.62,1616,https://www.labirint.ru/books/843552/
328164,American Gods,Gaiman Neil,,,,Headline,2021,,,Young adult на английском языке,506,194,126,45,9.8,1137,https://www.labirint.ru/books/328164/
984249,"Ведьма, кот и дело в шляпе",Павлова Нина Владимировна,,Токарева Наталья,,Феникс-Премьер,2024,Чердачные сказки,,Приключения. Детективы,360,230,170,10,9.18,615,https://www.labirint.ru/books/984249/
626205,Сквозь зеркала. Книга 1. Обрученные холодом,Дабо Кристель,Волевич Ирина,,Бобрецова Татьяна,КомпасГид,2020,Сквозь зеркала,,Молодежная литература,688,243,175,30,9,618,https://www.labirint.ru/books/626205/
914002,Хребты Безумия. Том 1,Лавкрафт Говард Филлипс,Брилова Людмила,Баранже Франсуа,,Азбука,2024,Больше чем книга,,Классическая зарубежная проза,1006,360,273,13,10,1469,https://www.labirint.ru/books/914002/
656274,Сквозь зеркала. Книга 3. Память Вавилона,Дабо Кристель,"Волевич Ирина, Морозова Елена Вячеславовна",,Бобрецова Татьяна,КомпасГид,2020,Сквозь зеркала,,Молодежная литература,746,242,175,32,9.4,636,https://www.labirint.ru/books/656274/
1007925,"Выжить, чтобы умереть",Юрьев Сергей Станиславович,,Юрьев Сергей Станиславович,,Вече,2024,Новая библиотека приключений и научной фантастики,,Современная отечественная проза,470,206,132,25,0,716,https://www.labirint.ru/books/1007925/
465872,Девочка с Земли,Булычев Кир,,Мигунов Евгений Тихонович,,Альфа-книга,2019,Большая иллюстрированная серия,,,692,243,172,23,9.19,576,https://www.labirint.ru/books/465872/
680856,Машина времени. Война миров,Уэллс Герберт Джордж,"Морозова Ксения, Зенкевич Михаил","Фитингоф Георгий Петрович, Корреа Энрике Алвим",,Речь,2019,Малая Классика Речи,,Классическая зарубежная фантастика,528,175,125,33,9.48,945,https://www.labirint.ru/books/680856/
875986,Мила Рудик и Чаша лунного света,Вольских Алека Альбертовна,,,,Качели,2023,Мила Рудик,,,656,207,132,34,9.1,634,https://www.labirint.ru/books/875986/
805594,Дюна. Графический роман. Том 1,"Герберт Брайан, Андерсон Кевин Дж.",,"Аллен Рауль, Мартин Патриция",,Комильфо,2021,Альтернативные комиксы,,,644,252,171,21,9.26,1268,https://www.labirint.ru/books/805594/
843932,Алиса и Алисия,Булычев Кир,,Одинцова Людмила,Брей Алия,Лабиринт,2022,Детская художественная литература,Иллюстрированная библиотека фантастики и приключений,,526,224,174,18,9.44,472,https://www.labirint.ru/books/843932/
654918,Гиперболоид инженера Гарина,Толстой Алексей Николаевич,,Рылов Владимир,,Верже,2018,Книжный шкаф,,Классическая отечественная проза,1654,297,220,36,7.64,6504,https://www.labirint.ru/books/654918/
911378,Гарри Поттер и Тайная комната,Роулинг Джоан Кэтлин,Спивак Маша,Кей Джим,,Махаон,2022,Гарри Поттер,,,1374,276,238,28,7.04,2323,https://www.labirint.ru/books/911378/
900659,Дюна. Леди Каладана,"Герберт Брайан, Андерсон Кевин Дж.",Анваер Александр Николаевич,,,АСТ,2022,Дюна,,Современная зарубежная проза,540,207,135,35,10,797,https://www.labirint.ru/books/900659/
911366,Гарри Поттер и Кубок Огня,Роулинг Джоан Кэтлин,Спивак Маша,Кей Джим,,Махаон,2022,Гарри Поттер,,,2084,275,235,43,8.7,2892,https://www.labirint.ru/books/911366/
964257,Аруми Норт,Каграманова Екатерина Размиковна,,Эллер Ева,,Пять четвертей,2023,Виток,,,694,218,148,30,9.33,698,https://www.labirint.ru/books/964257/
911380,Гарри Поттер и узник Азкабана,Роулинг Джоан Кэтлин,Спивак Маша,Кей Джим,,Махаон,2022,Гарри Поттер,,,1618,275,235,33,8.8,2608,https://www.labirint.ru/books/911380/
654919,Гиперболоид инженера Гарина,Толстой Алексей Николаевич,,Рылов Владимир,,Верже,2018,Книжный шкаф,,Классическая отечественная проза,1652,295,215,35,8.33,4480,https://www.labirint.ru/books/654919/
718651,Лес самоубийц,Бейтс Джереми,Стукалин Глеб,,Щёголев Петр,Аркадия,2022,Зловещие зоны Земли,,Современная зарубежная проза,490,205,130,24,8.59,662,https://www.labirint.ru/books/718651/
823009,Похититель вечности,Баркер Клайв,Мучник Татьяна Александровна,Неходова Ольга,,Качели,2023,Граффити,Книги для подростков,,326,206,130,16,9.35,590,https://www.labirint.ru/books/823009/
980132,О муравьях и динозаврах. Песня кита,Лю Цысинь,Гришина А.,,,fanzon,2024,Sci-Fi Universe. Лучшая новая НФ,,Современная зарубежная проза,498,218,148,25,8.86,880,https://www.labirint.ru/books/980132/
911668,Ходячий замок,Джонс Диана Уинн,Бродоцкая Анастасия,Гозман Елена,,Азбука,2023,Ходячий замок. Книги Дианы Уинн,,,456,208,135,23,9.19,590,https://www.labirint.ru/books/911668/
1005505,Земля мечты. Последний сребреник,Блэйлок Джеймс,Крылов Г.,,Батанов Г.,fanzon,2024,Fantasy World. Лучшая современная фэнтези,,Современная зарубежная проза,664,217,147,34,10,1117,https://www.labirint.ru/books/1005505/
878608,Город Эмбер,Дюпро Джин,Мучник Татьяна Александровна,Неходова Ольга,,Качели,2023,Послезавтра,,Молодежная литература,370,210,145,15,9.67,576,https://www.labirint.ru/books/878608/
1007557,Пожиратели призраков,Чэпмен Клэй Маклауд,Ардисламова Алина,,,АСТ,2024,Мастера ужасов,,Современная зарубежная проза,370,206,131,32,10,641,https://www.labirint.ru/books/1007557/
1004307,Темный лес,Лю Цысинь,,,,fanzon,2024,Fanzon. Sci-Fi Universe. Большой покет с клапанами,,Современная зарубежная проза,587,215,145,33,7,650,https://www.labirint.ru/books/1004307/
999220,Конец эфира,Шарапова Арина Аяновна,,,,Вече,2024,ВЕЧЕ рекомендует,,Современная отечественная проза,498,206,135,25,10,573,https://www.labirint.ru/books/999220/
903815,Чяп,Веркин Эдуард Николаевич,,,,Волчок,2023,Избранные сочинения Эдуарда Веркина,,,528,218,150,29,9.62,396,https://www.labirint.ru/books/903815/
694446,Девочка с Земли,Булычев Кир,,Мигунов Евгений Тихонович,Ким Елена Николаевна,Лабиринт,2023,Детская художественная литература,Иллюстрированная библиотека фантастики и приключений,,820,224,173,28,9.26,720,https://www.labirint.ru/books/694446/
784642,Море троллей,Фармер Нэнси,Лихачева Светлана Борисовна,Бабич Григорий,,Волчок,2021,Зеленое солнце,,Исторические повести и рассказы,934,223,155,38,9.18,994,https://www.labirint.ru/books/784642/
1003677,Князь Света. Порождения Света и Тьмы,Желязны Роджер,Лапицкий Виктор,,,fanzon,2024,Fanzon. Миры Роджера Желязны,,Современная зарубежная проза,535,206,132,34,9.67,753,https://www.labirint.ru/books/1003677/
1006902,Чаша Небес,Бенфорд Грегори,Сташевски К.,,,АСТ,2024,Звезды научной фантастики,,Современная зарубежная проза,550,206,133,34,0,946,https://www.labirint.ru/books/1006902/
883633,Пепельный дом,Уолкер Ангарад,Бродоцкая Анастасия,Неходова Ольга,,Качели,2023,Послезавтра,,,430,212,145,20,8.24,540,https://www.labirint.ru/books/883633/
1006543,Прах человеческий,Руоккио Кристофер,Павлов Юрий,,,Азбука,2024,Звезды новой фантастики,,Современная зарубежная проза,696,216,149,30,0,880,https://www.labirint.ru/books/1006543/
734041,День рождения Алисы,Булычев Кир,,Жиркова Екатерина,Ким Елена Николаевна,Лабиринт,2020,Детская художественная литература,"Про девочку, которая...",,618,225,182,20,9.64,797,https://www.labirint.ru/books/734041/
979888,Почти всемогущие,Габбасова Ирина Маратовна,,,,Пять четвертей,2023,Искажения,,,330,216,146,16,8.65,504,https://www.labirint.ru/books/979888/
1000597,"Лабиринт чародея. Вымыслы, грезы и химеры",Смит Кларк Эштон,"Грызунов Борис, Дорогокупля Василий, Кальницкая Дарья",,,Азбука,2024,Фантастика и фэнтези. Большие книги,,Классическая зарубежная проза,890,216,145,40,10,1057,https://www.labirint.ru/books/1000597/
1006546,Принцесса Марса. Боги Марса. Владыка Марса,Берроуз Эдгар Райс,Голубева Татьяна,Йейтс Томас,,Азбука,2024,Фантастика и фэнтези. Большие книги,,Классическая зарубежная проза,774,216,145,34,10,880,https://www.labirint.ru/books/1006546/
1007747,Принцесса Дюны,"Герберт Брайан, Андерсон Кевин Дж.",Воронцов А.,,,АСТ,2024,Дюна,,Современная зарубежная проза,508,206,133,30,0,797,https://www.labirint.ru/books/1007747/
912193,Мила Рудик и кристалл Фобоса,Вольских Алека Альбертовна,,,,Качели,2023,Мила Рудик,,,486,208,135,28,8.78,468,https://www.labirint.ru/books/912193/
771353,Дорога через зиму,Харгрейв Киран Миллвуд,Кидвати Ольга,Рокотова Наталья,Тюленева Наталья,Качели,2021,Зеркала,Книги для подростков,Приключения. Детективы,548,238,165,18,8.75,323,https://www.labirint.ru/books/771353/
911658,Дом с характером,Джонс Диана Уинн,Бродоцкая Анастасия,Баранов Владислав,,Азбука,2023,Ходячий замок. Книги Дианы Уинн,,,445,210,135,20,9,590,https://www.labirint.ru/books/911658/
484331,Миллион приключений,Булычев Кир,,Мигунов Евгений Тихонович,Басова Е. Г.,Альфа-книга,2018,Большая иллюстрированная серия,,,562,241,170,18,9.27,497,https://www.labirint.ru/books/484331/
481841,Гарри Поттер и Дары Смерти,Роулинг Джоан Кэтлин,Спивак Маша,,Грызунова Анастасия,Махаон,2022,Гарри Поттер,,,676,207,136,35,3.5,1057,https://www.labirint.ru/books/481841/
839993,Странные звери Китая,Янь Гэ,Полей Ольга,,,Аркадия,2022,Сказки для взрослых,,Героическое зарубежное фэнтези,400,207,133,22,7.62,547,https://www.labirint.ru/books/839993/
733506,Катакомбы Парижа,Бейтс Джереми,Попов Д. В.,,Щёголев Петр,Аркадия,2020,Зловещие зоны Земли,,Современная зарубежная проза,562,208,130,28,7.81,691,https://www.labirint.ru/books/733506/
638358,Правда о Салли Джонс,Вегелиус Якоб,Людковская Мария,Вегелиус Якоб,Коваленко Ксения,Белая ворона / Альбус корвус,2018,,,,764,217,155,50,9.49,973,https://www.labirint.ru/books/638358/
938112,О фантастических мирах. Комплект из 3-х книг,"Игнатова Анна Сергеевна, Донценко Татьяна Евгеньевна, Каграманова Екатерина Размиковна",,Критарова Алина,,Пять четвертей,2023,Комплекты,,,1228,215,145,70,10,1392,https://www.labirint.ru/books/938112/
989463,Сказания Земноморья,Ле Гуин Урсула,Тогоева Ирина Алексеевна,Григорьев Сергей Анатольевич,,Азбука,2024,Фантастика и фэнтези. Большие книги,,Современная зарубежная проза,872,217,150,37,10,1007,https://www.labirint.ru/books/989463/
844784,Олимпиада,Горницкая Любава Игоревна,,Ушаков Дмитрий,,Волчок,2022,Сюжетный код,,,407,206,161,25,8.66,461,https://www.labirint.ru/books/844784/
824440,Александровскiе кадеты. В 2-х томах,Перумов Ник Даниилович,,Захаров С.,,Альфа-книга,2021,Фантастический боевик,,Современная отечественная проза,526,207,130,23,8.23,378,https://www.labirint.ru/books/824440/
973204,Doctor Who and the Daleks. Illustrated Edition,Whitaker David,,Hack Robert,,BBC books,2022,Doctor Who,,,955,250,202,22,10,6909,https://www.labirint.ru/books/973204/
1007554,Землянин 4 в 1,Злотников Роман Валерьевич,,,,АСТ,2024,Весь(гигант),,Современная отечественная проза,1308,262,205,42,0,1630,https://www.labirint.ru/books/1007554/
912669,Мистические истории. Дом с привидениями,"Диккенс Чарльз, Бенсон Эдвард Фредерик, Бирс Амброз","Сухарев Сергей, Будагова Е., Брилова Людмила",,,Иностранка,2023,Иностранная литература. Большие книги,,Классическая зарубежная проза,876,216,148,38,9.64,1007,https://www.labirint.ru/books/912669/
1010167,Сотник из будущего. Балтийский рейд,Булычев Андрей Владимирович,,,,АСТ,2024,Военная боевая фантастика,,Современная отечественная проза,289,210,135,26,0,554,https://www.labirint.ru/books/1010167/
748745,Книга времени. Том 3. Гробница первого императора,Прево Гийом,Филиппова Ирина,,Ключарева Наталья,КомпасГид,2020,Книга времени,,,756,217,150,47,9.06,649,https://www.labirint.ru/books/748745/
616152,Даша в поисках солнца,Гурова Анна Евгеньевна,,Ходыревская Анна,,Качели,2022,Приключения во времени,Ребенок читает сам,,384,243,200,11,8.26,526,https://www.labirint.ru/books/616152/
558554,Драконозавр,Булычев Кир,,Лисогорский Марк Наумович,,Альфа-книга,2021,Большая иллюстрированная серия,,,626,244,172,20,8.48,562,https://www.labirint.ru/books/558554/
850427,Ключ от королевства. Комплект из 3 книг,"Дяченко Марина Юрьевна, Дяченко Сергей Сергеевич",,,,Качели,2021,Комплекты,,,1496,216,146,64,9.83,1024,https://www.labirint.ru/books/850427/
996702,Домой приведет тебя дьявол,Иглесиас Габино,Крылов Григорий,,,fanzon,2023,Fanzon. Территория страха,,Современная зарубежная проза,380,210,135,25,10,650,https://www.labirint.ru/books/996702/
882173,Дракон с шоколадным сердцем,Бёрджис Стефани,Полищук Вера,,,Качели,2023,Шоколадное сердце,,,382,220,145,17,9.78,396,https://www.labirint.ru/books/882173/
809383,Ересь Хоруса. Книга V. Немезида. Первый еретик. Первый еретик. Сожжение Посперо,"Сваллоу Джеймс, Дембски-Боуден Аарон, Абнетт Дэн",Савельева И.,,,Фантастика,2021,The Horus Heresy,,Современная зарубежная проза,1706,246,180,53,10,1637,https://www.labirint.ru/books/809383/
935626,Прыжок,Лукьяненко Сергей Васильевич,,,,АСТ,2023,Космос Сергея Лукьяненко,,Современная отечественная проза,410,218,150,22,5.62,797,https://www.labirint.ru/books/935626/
883732,За синей дверью,"Бордон Екатерина, Лукьянова Ирина Владимировна, Сиротин Дмитрий Александрович, Зайцева Александра Васильевна, Метревели Елена Сергеевна, Гербек Дина Владимировна, Сандлер Маша, Комарова Ксения Александровна, Закрученко Мария Сергеевна, Фиш Мария Юрьевна",,,,Волчок,2022,Рассказы Волчка,,Мистика. Фантастика. Фэнтези,124,200,148,6,8.65,166,https://www.labirint.ru/books/883732/
1009536,Гранит науки,Заикин Александр Сергеевич,,,,АСТ,2024,Новая боевая фантастика,,Современная отечественная проза,350,135,210,33,0,554,https://www.labirint.ru/books/1009536/
467401,Гарри Поттер и Орден Феникса,Роулинг Джоан Кэтлин,Спивак Маша,,Грызунова Анастасия,Махаон,2022,Гарри Поттер,,,826,208,135,45,3.59,1215,https://www.labirint.ru/books/467401/
521426,Всё о девочке с Земли. Приключения продолжаются,Булычев Кир,,Мигунов Евгений Тихонович,,Азбука,2021,Всё о...,,,960,238,172,31,9.27,880,https://www.labirint.ru/books/521426/
989462,День гнева. Новая сигнальная,Гансовский Север Феликсович,,,,Азбука,2024,Фантастика и фэнтези. Большие книги,,Классическая отечественная проза,994,217,146,42,9.75,1057,https://www.labirint.ru/books/989462/
768336,"Девочка, с которой ничего не случится",Булычев Кир,,Подивилова Ольга Васильевна,Неволайнен Любовь,Качели,2020,Книжная полка,Внеклассное чтение,,378,263,203,11,9.35,446,https://www.labirint.ru/books/768336/
819029,Ложная память,Шушканов Павел Александрович,,,,Пять четвертей,2022,Искажения,,Молодежная литература,608,216,148,38,9.02,684,https://www.labirint.ru/books/819029/
1010171,Смоленская Русь. Запад-36,Янов Алексей Леонидович,,,,АСТ,2024,Попаданец,,Современная отечественная проза,282,210,135,26,0,554,https://www.labirint.ru/books/1010171/
843553,Лэнгдон Сент-Ив. Легенда стимпанка. Комплект из 3 книг,Блэйлок Джеймс,"Кубатиев Алан, Ковжун Анатолий, Александров Александр",,,Аркадия,2021,Комплекты,,Героическое зарубежное фэнтези,1958,218,155,90,8.5,1624,https://www.labirint.ru/books/843553/
911605,Гарри Поттер. Комплект из 7 книг в футляре,Роулинг Джоан Кэтлин,Спивак Маша,,,Махаон,2021,Гарри Поттер,,,4342,225,195,145,4.07,6468,https://www.labirint.ru/books/911605/
457850,Гарри Поттер и Кубок Огня,Роулинг Джоан Кэтлин,Спивак Маша,,Грызунова Анастасия,Махаон,2022,Гарри Поттер,,,686,206,136,39,3.25,1057,https://www.labirint.ru/books/457850/
877347,Полное собрание романов в одном томе,Оруэлл Джордж,"Беспалова Лариса Георгиевна, Голышев Виктор Петрович, Домитеева Вера Михайловна",,,Альфа-книга,2022,Полное собрание в одном томе,,Классическая зарубежная проза,930,218,147,40,7.88,1102,https://www.labirint.ru/books/877347/
424618,Гарри Поттер и Философский камень,Роулинг Джоан Кэтлин,Спивак Маша,,"Грызунова Анастасия, Немцов М.",Махаон,2022,Гарри Поттер,,,448,207,135,20,3.09,880,https://www.labirint.ru/books/424618/
796312,Даша и викинги,Гурова Анна Евгеньевна,,Ходыревская Анна,,Качели,2021,Приключения во времени,Ребенок читает сам,,378,241,200,12,8.86,547,https://www.labirint.ru/books/796312/
1004310,Эпоха Мертвых. Начало,Круз Андрей,,,,Эксмо,2024,Боевая фантастика Андрея Круза,,Современная отечественная проза,416,206,132,28,0,607,https://www.labirint.ru/books/1004310/
951757,"Пожиратель душ. Об ангелах, демонах и потусторонних кошмарах",Каттнер Генри,"Берденников Николай Борисович, Зверева Ольга, Жужунава Бэла Михайловна",,,Азбука,2023,Фантастика и фэнтези. Большие книги,,Классическая зарубежная проза,834,218,148,36,9.42,1057,https://www.labirint.ru/books/951757/
848209,Десятка Лоу,Холборн Старк,Стукалин Глеб,,,Аркадия,2023,Семь солнц,,Современная зарубежная проза,426,208,135,24,9.31,475,https://www.labirint.ru/books/848209/
781155,The Complete Hitchhiker's Guide to the Galaxy Boxset,Adams Douglas,,,,Pan Books,2020,,,,920,200,135,82,9,7511,https://www.labirint.ru/books/781155/
877549,Привидения идут в школу,Александровская Наталья Александровна,,Чистоусова Наталья,,Феникс-Премьер,2023,Первоклассные истории,,,280,237,170,10,10,567,https://www.labirint.ru/books/877549/
931179,Зловещие зоны земли. Комплект из 3-х книг,Бейтс Джереми,"Попов Д. В., Ковжун Анатолий, Стукалин Глеб",,,Аркадия,2022,Комплекты,,Современная зарубежная проза,1512,208,135,74,8.43,2016,https://www.labirint.ru/books/931179/
721687,Остров Кукол,Бейтс Джереми,Ковжун Анатолий,,Щёголев Петр,Аркадия,2022,Зловещие зоны Земли,,Современная зарубежная проза,460,205,135,22,8.69,677,https://www.labirint.ru/books/721687/
1005780,Страшно — но не оторваться. Комплект из 3-х книг,"Баркер Клайв, Стрейндж Люси, Кэрролл Эмма","Лютова Ольга, Мучник Татьяна Александровна, Бродоцкая Анастасия",Неходова Ольга,,Качели,2023,Комплекты,,,892,208,130,55,7.75,1744,https://www.labirint.ru/books/1005780/
824684,Острова Блаженных,Фармер Нэнси,Лихачева Светлана Борисовна,Бабич Григорий,,Волчок,2022,Зеленое солнце,,Исторические повести и рассказы,984,223,160,38,8.69,730,https://www.labirint.ru/books/824684/
1000626,33 марта. Приключения Васи Голубева и Юрки Бойцова,Мелентьев Виталий Григорьевич,,"Елисеев Анатолий Михайлович, Скобелев Михаил Александрович",,Азбука,2024,Детская библиотека. Большие книги,,Повести и рассказы о детях,900,215,145,42,10,880,https://www.labirint.ru/books/1000626/
875222,Мила Рудик и загадка Сфинкса,Вольских Алека Альбертовна,,,,Качели,2023,Мила Рудик,,,496,208,130,25,9.79,526,https://www.labirint.ru/books/875222/
808581,Ватек. В 3-х книгах (комплект),Бекфорд Уильям,Трынкина Е. В.,,,Ладомир,2021,Памятники всемирной литературы,,Классическая зарубежная проза,2592,224,173,93,10,6608,https://www.labirint.ru/books/808581/
