,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,12,60,3,85.0,11924,1,1,0,3,0,4,0,16,2,2,0,5,2.302585092994046,5,2005,2006,3,1,14,15,3,286.0,0,4,2,0,4,4,2,998,6,0,177,1175,1,0,1,4,1182,1142,0,7.751475318021456,1,0,3,0,4,1,0,11,6,2,2,3,2005.0,0,3,736,5,5,2,147,21,0,0,0,0,3,4,1,0,7,2006,6,5,12.75130259456002
12,13,20,3,69.0,12968,1,1,1,3,0,4,0,19,2,2,0,2,1.791759469228055,6,1962,1962,3,1,6,10,2,0.0,3,4,1,4,4,4,0,737,6,0,175,912,1,4,1,4,912,0,0,6.816735880594968,1,0,1,0,2,1,3,4,6,0,3,5,1962.0,3,1,352,5,5,2,140,0,0,0,176,0,3,4,1,0,9,2008,8,4,11.87757552297847
13,14,20,3,91.0,10652,1,1,0,3,0,4,0,5,2,2,0,2,2.0794415416798357,5,2006,2007,1,1,12,13,3,306.0,2,4,2,2,4,0,6,0,6,0,1494,1494,1,0,1,4,1494,0,0,7.3098814858247865,0,0,2,0,3,1,2,7,6,1,2,1,2006.0,2,3,840,5,5,2,160,33,0,0,0,0,3,4,1,0,8,2007,6,5,12.540761149388421
14,15,20,3,69.0,10920,1,1,0,3,0,0,0,12,2,2,0,2,1.9459101490553132,5,1960,1960,3,1,8,8,1,212.0,3,4,1,4,4,4,1,733,6,0,520,1253,1,4,1,4,1253,0,0,7.134093721192866,1,0,1,1,2,1,3,5,6,1,1,1,1960.0,2,1,352,5,5,2,0,213,176,0,0,0,3,1,1,0,5,2008,8,4,11.964007453736912
15,16,45,4,51.0,6120,1,1,3,3,0,0,0,3,2,2,0,1,2.0794415416798357,8,1929,2001,1,1,13,14,2,0.0,3,4,0,4,4,4,6,0,6,0,832,832,1,0,1,0,854,0,0,6.75110146893676,0,0,1,0,2,1,3,5,6,0,3,5,1991.0,3,2,576,5,5,2,48,112,0,0,0,0,3,0,1,0,7,2007,8,4,11.790564777297387
16,17,20,3,69.0,11241,1,1,0,3,0,1,0,12,2,2,0,2,1.9459101490553132,7,1970,1970,1,1,13,14,1,180.0,3,4,1,4,4,4,0,578,6,0,426,1004,1,0,1,4,1004,0,0,6.912742820493176,1,0,1,0,2,1,3,5,6,1,5,1,1970.0,0,2,480,5,5,2,0,0,0,0,0,0,3,4,3,700,3,2010,8,4,11.91170829631447
17,18,90,3,72.0,10791,1,1,3,3,0,4,0,19,2,2,2,2,1.6094379124341003,5,1967,1967,1,1,8,8,2,0.0,3,4,3,3,2,3,4,0,4,0,0,0,1,4,1,4,1296,0,0,7.167809184316444,0,0,2,0,2,2,3,6,6,0,3,4,1967.0,3,2,516,5,5,2,0,0,0,0,0,0,3,4,3,500,10,2006,8,4,11.407576060361786
18,19,20,3,66.0,13695,1,1,3,3,0,4,0,20,5,2,0,2,1.791759469228055,5,2004,2004,1,1,12,13,2,0.0,3,4,2,4,4,4,2,646,6,0,468,1114,1,0,1,4,1114,0,0,7.016609683894219,1,0,1,1,3,1,2,6,6,0,3,5,2004.0,3,2,576,5,5,2,0,102,0,0,0,0,3,4,1,0,6,2008,8,4,11.976665770490767
19,20,20,3,70.0,7560,1,1,3,3,0,4,0,12,2,2,0,2,1.791759469228055,6,1958,1965,3,1,3,10,2,0.0,3,4,1,4,4,4,3,504,6,0,525,1029,1,4,1,4,1339,0,0,7.200424892944957,0,0,1,0,3,1,3,6,2,0,3,1,1958.0,3,1,294,5,5,2,0,0,0,0,0,0,3,2,1,0,5,2009,0,0,11.842236406331555
20,21,60,3,101.0,14215,1,1,0,3,0,0,0,16,2,2,0,5,2.1972245773362196,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,4,0,6,0,6,0,1158,1158,1,0,1,4,1158,1218,0,7.773594467360194,0,0,3,1,4,1,2,9,6,1,2,3,2005.0,2,3,853,5,5,2,240,154,0,0,0,0,3,4,1,0,11,2006,6,5,12.692506186542177
21,22,45,4,57.0,7449,1,0,3,0,0,4,0,9,2,2,0,1,2.0794415416798357,7,1930,1950,1,1,13,14,2,0.0,3,4,2,4,4,4,6,0,6,0,637,637,1,0,1,1,1108,0,0,7.011213987350367,0,0,1,0,3,1,2,6,6,1,2,1,1930.0,3,1,280,5,5,0,0,0,205,0,0,0,3,0,1,0,6,2007,8,4,11.845109950883979
22,23,20,3,75.0,9742,1,1,3,3,0,4,0,5,2,2,0,2,2.1972245773362196,5,2002,2002,3,1,12,13,1,281.0,2,4,2,2,4,4,6,0,6,0,1777,1777,1,0,1,4,1795,0,0,7.493317248862145,0,0,2,0,3,1,2,7,6,1,2,1,2002.0,2,2,534,5,5,2,171,159,0,0,0,0,3,4,1,0,9,2008,8,4,12.345838935721968
23,24,120,4,44.0,4224,1,1,3,3,0,4,0,10,2,2,4,2,1.791759469228055,7,1976,1976,1,1,5,5,2,0.0,3,4,2,2,4,4,2,840,6,0,200,1040,1,4,1,4,1060,0,0,6.966967138613983,1,0,1,0,3,1,3,6,6,1,5,1,1976.0,3,2,572,5,5,2,100,110,0,0,0,0,3,4,1,0,6,2007,8,4,11.774527900858468
24,25,20,3,69.0,8246,1,1,0,3,0,4,0,19,2,2,0,2,1.791759469228055,8,1968,2001,1,1,9,10,2,0.0,3,2,1,4,4,2,5,188,0,668,204,1060,1,0,1,4,1060,0,0,6.966967138613983,1,0,1,0,3,1,2,6,6,1,5,1,1968.0,3,1,270,5,5,2,406,90,0,0,0,0,3,2,1,0,5,2010,8,4,11.944714374881176
25,26,20,3,110.0,14230,1,1,3,3,0,0,0,16,2,2,0,2,2.1972245773362196,5,2007,2007,1,1,12,13,3,640.0,2,4,2,2,4,4,6,0,6,0,1566,1566,1,0,1,4,1600,0,0,7.3783837129967145,0,0,2,0,3,1,2,7,6,1,2,1,2007.0,2,3,890,5,5,2,0,56,0,0,0,0,3,4,1,0,7,2009,8,4,12.454107814022272
26,27,20,3,60.0,7200,1,1,3,3,0,0,0,12,2,2,0,2,1.791759469228055,7,1951,2000,1,1,13,14,2,0.0,3,4,1,4,4,2,1,234,5,486,180,900,1,4,1,4,900,0,0,6.803505257608338,0,1,1,0,3,1,2,5,6,0,3,5,2005.0,3,2,576,5,5,2,222,32,0,0,0,0,3,4,1,0,5,2010,8,4,11.811554895830454
27,28,20,3,98.0,11478,1,1,3,3,0,4,0,16,2,2,0,2,2.1972245773362196,5,2007,2008,1,1,12,13,3,200.0,2,4,2,0,4,4,2,1218,6,0,486,1704,1,0,1,4,1704,0,0,7.4413203897176174,1,0,2,0,3,1,2,7,6,1,2,1,2008.0,2,3,772,5,5,2,0,50,0,0,0,0,3,4,1,0,5,2010,8,4,12.631343648903034
28,29,20,3,47.0,16321,1,1,0,3,0,1,0,12,2,2,0,2,1.791759469228055,6,1957,1997,1,1,8,8,2,0.0,3,4,1,4,4,1,1,1277,6,0,207,1484,1,4,1,4,1600,0,0,7.3783837129967145,1,0,1,0,2,1,3,6,6,2,2,1,1957.0,2,1,319,5,5,2,288,258,0,0,0,0,3,4,1,0,12,2006,8,4,12.242891437918386
29,30,30,4,60.0,6324,1,1,0,3,0,4,0,3,1,7,0,2,1.6094379124341003,6,1927,1950,1,1,8,8,2,0.0,3,4,0,4,4,4,6,0,6,0,520,520,1,1,0,4,520,0,0,6.255750041753367,0,0,1,0,1,1,1,4,6,0,3,5,1920.0,3,1,240,1,5,2,49,0,87,0,0,0,3,4,1,0,5,2008,8,4,11.134603622683905
30,31,70,0,50.0,8500,1,2,3,3,0,4,0,9,1,2,0,5,1.6094379124341003,4,1920,1950,2,1,3,3,2,0.0,3,1,0,4,4,4,6,0,6,0,649,649,1,4,0,4,649,668,0,7.183870715062453,0,0,1,0,3,1,3,6,6,0,3,5,1920.0,3,1,250,5,1,0,0,54,172,0,0,0,3,2,1,0,7,2008,8,4,10.596659732783579
31,32,20,3,69.0,8544,1,1,0,3,0,1,0,19,2,2,0,2,1.791759469228055,6,1966,2006,1,1,6,6,2,0.0,3,4,1,4,4,4,6,0,6,0,1228,1228,1,2,1,4,1228,0,0,7.113956109566034,0,0,1,1,3,1,2,6,6,0,3,1,1966.0,3,1,271,5,5,2,0,65,0,0,0,0,3,2,1,0,6,2008,8,4,11.914054519303125
32,33,20,3,85.0,11049,1,1,3,3,0,0,0,5,2,2,0,2,2.1972245773362196,5,2007,2007,1,1,12,13,2,0.0,2,4,2,0,4,0,6,0,6,0,1234,1234,1,0,1,4,1234,0,0,7.118826249062078,0,0,2,0,3,1,2,7,6,0,3,1,2007.0,2,2,484,5,5,2,0,30,0,0,0,0,3,4,1,0,1,2008,8,4,12.100161978566867
33,34,20,3,70.0,10552,1,1,0,3,0,4,0,12,2,2,0,2,1.791759469228055,5,1959,1959,3,1,3,3,2,0.0,3,4,1,4,4,4,5,1018,6,0,380,1398,1,2,1,4,1700,0,0,7.438971592395862,0,1,1,1,4,1,2,6,6,1,2,1,1959.0,2,2,447,5,5,2,0,38,0,0,0,0,3,4,1,0,4,2010,8,4,12.016732516077072
34,35,120,3,60.0,7313,1,1,3,3,0,4,0,16,2,2,4,2,2.302585092994046,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,4,4,2,1153,6,0,408,1561,1,0,1,4,1561,0,0,7.3537223303996315,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2,556,5,5,2,203,47,0,0,0,0,3,4,1,0,8,2007,8,4,12.533579815765737
35,36,60,3,108.0,13418,1,1,3,3,0,4,0,16,2,2,0,5,2.1972245773362196,5,2004,2005,1,1,12,13,3,132.0,2,4,2,0,4,0,6,0,6,0,1117,1117,1,0,1,4,1132,1320,0,7.8050670442584895,0,0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3,691,5,5,2,113,32,0,0,0,0,3,4,1,0,9,2006,8,4,12.6410997921206
36,37,20,3,112.0,10859,1,1,3,3,0,0,0,5,2,2,0,2,1.791759469228055,5,1994,1995,1,1,12,13,2,0.0,3,4,2,2,4,4,6,0,6,0,1097,1097,1,0,1,4,1097,0,0,7.001245622069476,0,0,1,1,3,1,3,6,6,0,3,1,1995.0,3,2,672,5,5,2,392,64,0,0,0,0,3,4,1,0,6,2009,8,4,11.884495917930655
37,38,20,3,74.0,8532,1,1,3,3,0,4,0,12,2,2,0,2,1.791759469228055,6,1954,1990,3,1,13,14,1,650.0,3,4,1,4,4,4,5,1213,6,0,84,1297,1,2,1,4,1297,0,0,7.168579897264035,0,1,1,0,3,1,3,5,6,1,5,1,1954.0,0,2,498,5,5,2,0,0,0,0,0,0,3,4,1,0,10,2009,8,4,11.938199736300925
38,39,20,3,68.0,7922,1,1,3,3,0,4,0,12,2,2,0,2,1.791759469228055,7,1953,2007,1,1,12,13,2,0.0,3,2,1,4,4,4,2,731,6,0,326,1057,1,4,1,4,1057,0,0,6.964135612418245,1,0,1,0,3,1,2,5,6,0,3,5,1953.0,3,1,246,5,5,2,0,52,0,0,0,0,3,4,1,0,1,2010,8,0,11.599112335481124
39,40,90,3,65.0,6040,1,1,3,3,0,4,0,7,2,2,2,2,1.6094379124341003,5,1955,1955,1,1,0,10,2,0.0,3,4,2,3,2,3,4,0,4,0,0,0,1,4,0,2,1152,0,0,7.050122520269059,0,0,2,0,2,2,1,6,6,0,3,6,0.0,1,0,0,3,3,0,0,0,0,0,0,0,3,4,1,0,6,2008,8,1,11.314486721293981
40,41,20,3,84.0,8658,1,1,3,3,0,4,0,12,2,2,0,2,1.9459101490553132,5,1965,1965,1,1,13,14,1,101.0,3,4,1,4,4,4,5,643,6,0,445,1088,1,0,1,4,1324,0,0,7.1891677384203225,0,0,2,0,3,1,3,6,6,1,5,1,1965.0,2,2,440,5,5,2,0,138,0,0,0,0,3,1,1,0,12,2006,8,0,11.982935344196433
41,42,20,3,115.0,16905,1,1,3,3,0,4,0,23,2,2,0,2,1.791759469228055,6,1959,1959,1,1,12,13,2,0.0,3,2,1,4,4,1,1,967,6,0,383,1350,1,2,1,4,1328,0,0,7.192182058713246,0,1,1,1,2,1,3,5,6,2,2,1,1959.0,2,1,308,5,5,1,0,104,0,0,0,0,3,4,1,0,7,2007,8,4,12.04355959836804
42,43,85,3,69.0,9180,1,1,0,3,0,1,0,20,2,2,0,6,1.791759469228055,7,1983,1983,1,1,6,6,2,0.0,3,4,1,2,4,0,0,747,3,93,0,840,1,2,1,4,884,0,0,6.785587645007929,1,0,1,0,2,1,2,5,6,0,3,1,1983.0,2,2,504,5,2,2,240,0,0,0,0,0,3,2,1,0,12,2007,8,4,11.87757552297847
43,44,20,3,69.0,9200,1,1,0,3,0,1,0,5,2,2,0,2,1.791759469228055,6,1975,1980,3,1,12,13,2,0.0,3,4,1,2,4,0,3,280,1,491,167,938,1,4,1,4,938,0,0,6.844815479208263,1,0,1,0,3,1,3,5,6,0,3,5,1977.0,3,1,308,5,5,2,145,0,0,0,0,0,3,2,1,0,7,2008,8,4,11.777218637129327
44,45,20,3,70.0,7945,1,1,3,3,0,4,0,12,2,2,0,2,1.791759469228055,6,1959,1959,1,1,3,14,2,0.0,3,4,1,4,4,4,0,179,1,506,465,1150,1,0,1,0,1150,0,0,7.048386408721883,1,0,1,0,3,1,3,6,6,0,3,1,1959.0,2,1,300,5,5,2,0,0,0,0,0,0,3,4,1,0,5,2006,8,4,11.856522261533737
45,46,120,3,61.0,7658,1,1,3,3,0,4,0,16,2,2,4,2,2.302585092994046,5,2005,2005,3,1,8,8,1,412.0,0,4,2,0,4,4,2,456,6,0,1296,1752,1,0,1,4,1752,0,0,7.469083884921234,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,2,2,576,5,5,2,196,82,0,0,0,0,3,4,1,0,2,2010,8,4,12.675766851909591
46,47,50,3,48.0,12822,1,1,0,3,0,1,0,11,2,2,0,0,2.0794415416798357,5,2003,2003,1,1,12,13,2,0.0,2,4,2,0,4,4,2,1351,6,0,83,1434,1,0,1,4,1518,631,0,7.673223121121708,1,0,1,1,1,1,2,6,6,1,0,1,2003.0,2,2,670,5,5,2,168,43,0,0,198,0,3,4,1,0,8,2009,8,0,12.387089184491993
47,48,20,1,84.0,11096,1,1,3,3,0,4,0,21,2,2,0,2,2.1972245773362196,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,4,0,2,24,6,0,1632,1656,1,0,1,4,1656,0,0,7.4127640174265625,0,0,2,0,3,1,2,7,6,0,3,1,2006.0,2,3,826,5,5,2,0,146,0,0,0,0,3,4,1,0,7,2007,8,4,12.428019481065613
48,49,190,4,33.0,4456,1,1,3,3,0,4,0,17,2,2,1,5,1.6094379124341003,5,1920,2008,1,1,8,8,2,0.0,3,4,0,4,4,4,6,0,6,0,736,736,1,2,1,4,736,716,0,7.2813856635702825,0,0,2,0,2,3,3,8,6,0,3,6,0.0,1,0,0,3,3,0,0,0,102,0,0,0,3,4,1,0,6,2009,6,5,11.635151947212842
49,50,20,3,66.0,7742,1,1,3,3,0,4,0,19,2,2,0,2,1.791759469228055,7,1966,1966,1,1,6,6,2,0.0,3,4,1,4,4,4,1,763,6,0,192,955,1,0,1,4,955,0,0,6.862757913051401,1,0,1,0,3,1,3,6,6,0,3,1,1966.0,3,1,386,5,5,2,0,0,0,0,0,0,3,2,1,0,1,2007,8,4,11.751950239425476
50,51,60,3,69.0,13869,1,1,1,3,0,0,0,8,2,2,0,5,1.9459101490553132,6,1997,1997,1,1,12,13,2,0.0,3,4,2,2,4,0,2,182,6,0,612,794,1,2,1,4,794,676,0,7.293697720601438,0,1,2,0,3,1,3,6,6,0,3,1,1997.0,0,2,388,5,5,2,0,75,0,0,0,0,3,4,1,0,7,2007,8,4,12.083910661257521
51,52,50,4,52.0,6240,1,1,3,3,0,4,0,3,2,2,0,0,1.9459101490553132,6,1934,1950,1,1,13,14,2,0.0,3,4,2,4,4,4,6,0,6,0,816,816,1,4,1,4,816,0,360,7.0707241072602764,0,0,1,0,3,1,3,6,6,1,2,5,1985.0,3,2,528,5,5,2,112,0,0,0,0,0,3,2,3,400,9,2006,8,4,11.648338835562747
52,53,90,4,110.0,8472,0,1,1,0,0,0,1,9,8,2,2,2,1.791759469228055,5,1963,1963,1,1,13,14,2,0.0,1,4,1,2,4,1,3,104,2,712,0,816,1,4,0,4,816,0,0,6.705639094860003,1,0,1,0,2,1,3,5,6,0,3,4,1963.0,3,2,516,5,5,2,106,0,0,0,0,0,3,4,1,0,5,2010,8,4,11.608244735642321
53,54,20,3,68.0,50271,1,1,0,2,0,4,0,24,2,2,0,2,2.302585092994046,5,1981,1987,1,7,14,15,2,0.0,2,4,1,0,4,1,2,1810,6,0,32,1842,1,2,1,4,1842,0,0,7.519149957669823,2,0,0,1,0,1,2,5,6,1,2,1,1981.0,0,3,894,5,5,2,857,72,0,0,0,0,3,4,1,0,11,2006,8,4,12.861001210669146
54,55,80,3,60.0,7134,1,1,3,0,0,4,1,12,2,2,0,7,1.791759469228055,5,1955,1955,1,1,8,8,2,0.0,3,4,1,4,4,4,0,384,6,0,0,384,1,4,1,4,1360,0,0,7.215975002651466,0,0,1,0,3,1,3,6,2,1,5,5,1962.0,3,2,572,5,5,2,0,50,0,0,0,0,3,2,1,0,2,2007,8,4,11.775297421715827
55,56,20,3,100.0,10175,1,1,0,3,0,4,0,12,2,2,0,2,1.9459101490553132,5,1964,1964,1,1,6,10,1,272.0,3,4,1,4,4,4,1,490,6,0,935,1425,1,2,1,4,1425,0,0,7.262628600974241,0,0,2,0,3,1,3,7,6,1,2,1,1964.0,2,2,576,5,5,2,0,0,0,407,0,0,3,4,1,0,7,2008,8,4,12.103491596905931
56,57,160,1,24.0,2645,1,2,3,3,0,4,0,21,2,2,3,5,2.1972245773362196,5,1999,2000,1,1,8,8,1,456.0,2,4,2,2,4,4,2,649,6,0,321,970,1,0,1,4,983,756,0,7.461640392208575,1,0,2,1,3,1,2,7,6,0,3,1,1999.0,0,2,480,5,5,2,115,0,0,0,0,0,3,4,1,0,8,2009,8,0,12.058158312538197
57,58,60,3,89.0,11645,1,1,0,3,0,0,0,5,2,2,0,5,2.0794415416798357,5,2004,2004,1,1,12,13,2,0.0,2,4,2,2,4,4,6,0,6,0,860,860,1,0,1,4,860,860,0,7.450660796211539,0,0,2,1,3,1,2,7,6,0,3,1,2004.0,2,2,565,5,5,2,0,70,0,0,0,0,3,4,1,0,8,2006,8,4,12.188422799337028
58,59,60,3,66.0,13682,1,1,1,1,0,1,0,22,2,2,0,5,2.3978952727983707,5,2006,2006,3,1,12,13,1,1031.0,0,4,2,0,4,1,6,0,6,0,1410,1410,1,0,1,4,1426,1519,0,7.988203597022576,0,0,3,1,3,1,2,10,6,1,2,3,2006.0,0,3,641,5,5,2,192,0,37,0,0,0,3,4,1,0,10,2006,6,5,12.991755706536901
59,60,20,3,60.0,7200,1,1,3,0,0,4,0,5,2,2,0,2,1.791759469228055,7,1972,1972,1,1,6,6,2,0.0,3,4,1,4,4,0,0,632,6,0,148,780,1,0,1,4,780,0,0,6.660575149839686,0,0,1,0,2,1,3,4,6,0,3,5,1973.0,3,1,352,5,5,2,196,0,0,0,0,0,3,2,1,0,1,2008,8,4,11.735276702486741
60,61,20,3,63.0,13072,1,1,3,3,0,4,0,20,5,2,0,2,1.9459101490553132,5,2004,2004,1,1,12,13,2,0.0,3,4,2,2,4,4,0,941,6,0,217,1158,1,0,1,4,1158,0,0,7.055312843339752,1,0,1,1,3,1,2,5,6,0,3,5,2006.0,3,2,576,5,5,2,0,50,0,0,0,0,3,4,1,0,5,2006,6,5,11.970356641102999
61,62,75,4,60.0,7200,1,1,3,3,0,4,0,9,2,2,0,4,1.791759469228055,7,1920,1996,1,1,8,8,2,0.0,3,4,0,4,0,4,6,0,6,0,530,530,1,4,0,4,581,530,0,7.013915474810528,0,0,1,0,3,1,1,6,6,0,3,5,1935.0,3,1,288,5,5,0,0,0,144,0,0,0,3,4,1,0,3,2007,8,4,11.522885696764481
62,63,120,3,44.0,6442,1,1,0,3,0,4,0,16,2,2,4,2,2.1972245773362196,5,2006,2006,1,1,12,13,3,178.0,2,4,2,2,1,2,2,24,6,0,1346,1370,1,0,1,4,1370,0,0,7.223295679562314,0,0,2,0,2,1,2,6,6,1,2,1,2006.0,2,2,484,5,5,2,120,49,0,0,0,0,3,4,1,0,10,2007,8,4,12.218500103788143
63,64,70,4,50.0,10300,1,1,0,0,0,4,0,17,6,1,0,5,2.0794415416798357,6,1921,1950,1,1,11,12,2,0.0,3,4,0,4,4,4,6,0,6,0,576,576,1,2,1,4,902,808,0,7.444833273892193,0,0,2,0,3,1,3,9,6,0,3,5,1990.0,3,2,480,5,5,2,12,11,64,0,0,0,3,0,1,0,4,2010,8,4,11.849404844423074
64,65,60,3,69.0,9375,1,1,3,3,0,4,0,5,2,2,0,5,2.0794415416798357,5,1997,1998,1,1,12,13,1,573.0,3,4,2,2,4,4,2,739,6,0,318,1057,1,0,1,4,1057,977,0,7.618251097876695,1,0,2,1,3,1,2,8,6,0,3,1,1998.0,2,2,645,5,5,2,576,36,0,0,0,0,3,0,1,0,2,2009,8,4,12.299112067295642
